ASMI	CPTI15	CPTI15_sel_CFTI4med	ASMI_EqID	CFTI4med_EqID
			-04610000_0000_000	50000
			-04360000_0000_000	50001
			-04260000_0000_000	50002
			-04000000_0000_000	42852
			-03600000_0000_000	50003
			-03220000_0000_001	50004
			-03220000_0000_000	50005
			-02680000_0000_000	50006
@			-02170600_0000_000	50008
			-02170600_0000_001	50007
			-01930315_0000_000	50009
			-01920000_0000_000	50010
			-01790900_0000_000	50011
@			-01740000_0000_000	50012
			-01330000_0000_000	50013
			-01260000_0000_000	50014
			-01180000_0000_000	50015
			-01170000_0000_001	50086
			-01170000_0000_000	50082
@			-01000000_0000_000	50017
@			-00990000_0000_000	50018
			-00970000_0000_000	50019
			-00920000_0000_000	50020
@			-00910000_0000_000	50022
@			-00910000_0000_001	50021
			-00870000_0000_000	50016
			-00830000_0000_000	50023
@			-00760000_0000_000	50024
			-00720000_0000_000	50025
@			-00630000_0000_000	50026
			-00560400_0000_001	50083
@			-00560400_0000_000	50027
			-00490000_0000_000	50028
			-00470000_0000_000	50029
			-00440000_0000_000	50030
			-00430000_0000_000	50031
			-00170000_0000_000	50032
			-00020000_0000_000	50033
			00050000_0000_000	50034
			00150000_0000_000	50035
@			00170000_0000_000	50036
			00370316_0000_000	50037
			00510000_0000_000	50038
@			00620205_0000_000	50039
			00640000_0000_000	50040
			00680000_0000_000	50041
			00680609_0000_000	50084
			00681000_0000_000	50075
			00790824_0000_000	50042
@			00790825_0700_000	50043
			00790826_0000_000	50044
@			00990000_0000_000	50045
@			01010000_0000_000	50046
			01170000_0000_000	50047
			01910000_0000_000	50048
			02170000_0000_000	50049
			02230909_0000_000	50050
			02230917_0000_000	50051
			02231019_0000_000	50052
			02620000_0000_000	50053
			02750000_0000_000	50054
@			03460000_0000_000	50055
@			03610000_0000_000	50056
			03650721_0500_000	50085
@			03750000_0000_000	50058
			04080000_0000_000	50059
			04290825_0000_000	50060
			04430000_0000_000	50061
			04430415_0100_000	50062
			04670000_0000_000	50063
			04840000_0000_000	50064
			04920526_0000_000	50065
			05010000_0000_000	50066
			05011009_0630_000	50067
			05020414_0000_000	50068
			06180806_0000_000	50069
			06500000_0000_000	50070
			07010000_0000_000	42853
@			07250000_0000_000	50071
@			07780000_0000_000	50072
@			08010429_2000_000	50073
			08361230_0000_000	50074
@			08480600_0000_000	50076
@			08530831_0000_000	50077
			08940000_0000_000	50078
@			09510000_0000_000	50079
			09760120_0200_000	50080
@			09891025_0000_000	50081
@			10000329_0000_001	00001
@			10010000_0000_000	00002
@	@		10190401_0000_000	42790
@	@		10440419_0900_000	42082
@	@		10461109_0000_000	42791
@	@		10650327_1125_000	00013
@	@		10650327_1645_000	00014
@	@		10870910_0000_000	00018
@	@	@	10910127_0000_000	42006
@			10931003_0000_000	00019
@	@		10940114_0000_000	42844
@			10950910_0000_000	00023
@			11040103_0000_000	00026
@			11040400_0000_000	00027
@			11060000_0000_000	00029
			11170103_0000_001	M2053
@	@	@	11170103_1515_001	42792
@	@	@	11170103_1515_000	00035
@			11200000_0000_000	00038
@	@	@	11200325_0000_000	00036
@	@	@	11250607_1100_000	00046
@	@		11251011_0000_000	00039
@	@	@	11601015_0000_000	00057
@	@	@	11610116_0600_000	00058
@	@	@	11690204_0700_000	00062
@	@	@	11700509_0000_000	00065
@	@	@	11720926_1340_000	42021
@			11800000_0000_000	00068
@	@	@	11831200_0000_000	00070
@	@	@	11840524_0000_000	00072
@			11920000_0000_000	00075
@			11970000_0000_000	00078
@			12081202_0000_000	42261
@	@	@	12090000_0000_000	42092
@			12120000_0000_001	00084
@			12120820_1445_000	42845
@			12181125_0000_000	42094
@			12220323_0000_000	42846
@	@	@	12221225_1230_000	00089
@			12230000_0000_000	00092
@			12230420_2300_000	00090
@			12280111_0000_000	42847
@			12280407_0000_000	42848
@			12280700_0000_000	00095
@			12290000_0000_000	00098
@	@	@	12310601_1100_000	00100
@			12330000_0000_000	00102
@	@	@	12421024_0000_000	00105
@	@	@	12490900_0000_000	00112
@	@	@	12551117_1000_000	42022
@	@	@	12580219_1630_000	42023
@			12591004_0000_000	00116
@			12681104_0000_000	00122
