*	000001	gran numero	2	A
*	000006	vittime	2	A
*	000007	vittime	2	A
*	000013	morti	2	A
*	000025	più di 1000	4	A
*	000036	morti	2	A
*	000040	4	1	C-
*	000066	gran numero	2	A
*	000068	numerosi	2	A
*	000072	molti	3	A
*	000074	8	1	C
*	000075	1	1	C
*	000078	500	3	C
*	000085	molti	2	B
*	000090	500	3	B
*	000091	45 fra morti e feriti	2	D
*	000095	70	2	E
*	000107	30000	5	B
*	000110	alcuni	1	B
*	000114	5	1	B
**	000121	4820	4	B+
**	000122	150	3	B
*	000131	200 circa	3	B
*	000133	3	1	B
**	000146	35170	5	C
**	000159	2	1	B
*	000162	2	1	B
*	000165	2	1	B
**	000170	19	2	B
**	000173	234	3	B
**	000181	239	3	B
*	000182	alcuni	1	A
*	000257	1	1	B
*	000258	4	1	B
**	000463	100	2	B
**	000471	171	3	B
*	000656	1	1	B
*@	000675	3	1	B
**	000714	alcuni	1	B
**	000717	80	2	C
**	000719	1	1	B
**	000720	1	1	B
*	000726	127	3	B
**	000727	10	1	B
*	000730	2333	4	C
**	000735	4	1	B
**	000740	imprecisato	2	A
**	000750	molti	4	B
**	000751	27000	5	B+
*	000756	2	1	B
*@	000758	5	1	B
*	000773	3	1	C
*	000819	1	1	B
*	000829	640	3	B
*	000833	numerose vittime	2	A
*	000920	60	2	B
*	000951	50	2	B
*	001011	3600	4	B
*	001012	19000	5	C
*	001033	5000	4	B
*	001034	1000	3	C
*	001040	3	1	B
*	002002	2500	4	B
*	002005	molti	2	A
*	002015	alcuni	1	A
*	002021	2	1	B
*	002022	vittime	2	B
*	002048	300	2	B
*	002049	26	2	B
*	002052	3	1	B
*	002073	5	1	B
*	002079	20	2	B
*	003000	15000	5	B
*	003001	numerosi	3	B
*	003003	circa 200	3	B
*	003005	103	3	B
*	003006	imprecisato numero di vittime	2	B
*	003007	37	2	B
*	003009	2035	4	C
*	003010	alcuni	1	A
*	003011	54000	5	C
*	003013	250	3	B
*	003016	numerosi	2	B
*	003018	15	2	B
*	003019	18	2	C
*	003020	3	1	B
*	003021	22	2	B
*	003022	circa 115	3	B
*	003023	12	3	B
*	003025	circa 500 vittime	3	B
*	003026	74	2	B
*	003027	117	3	B
*	003028	10	1	B
*	003029	23	2	B
*	003030	557	3	C
*	003031	167	3	C
*	003032	80000	5	B
*	003033	13	2	B
*	003034	69	2	C
*	003035	4	1	C
*	003037	231	3	C
*	003038	1	1	B
*	003039	16	2	B
*	003040	100	2	B
*	003046	5	1	B
*	003048	molti	2	B
*	003049	18	2	B
*	003059	molti	3	A
*	003060	imprecisato numero di vittime	3	A
*	003061	numerose vittime	3	A
*	003062	2000	4	B
*	003064	2000	4	B
*	003065	4000	4	B
*	003069	7360	4	A
*	003070	100	2	B
*	003074	150	3	B
*	003075	imprecisato numero di vittime	2	B
*	003076	600	3	B
*	003077	900	3	B
*	003078	circa 500	3	B
*	003079	135	3	B
*	003080	circa 200	3	B
*	003081	alcuni per la paura	1	B
*	003082	circa 400	3	B
*	003083	50	2	B
*	003084	10000	4	B
*	003085	20	2	B
*	003086	poche decine	2	B
*	003087	circa 400	3	B
*	003088	9671	4	C
*	003089	2400	4	B
*	003091	circa 500	3	B
*	003092	1942	4	B
*	003093	3	1	B
*	003094	una decina	1	B
*	003095	10	1	B
*	003097	1	1	B
*	003098	un centinaio	2	B
*	003099	15	2	B
@	003100	30	2	B
*	003101	oltre 500	3	B
*	003103	104	3	B
*	003104	5573	4	C
*	003105	7	1	B
*	003106	29	2	B
*	003107	7	1	B
*	003108	34?	2	B
*	003109	una decina	1	B
*	003110	13	2	B
*	003113	50 circa	2	B
*	003114	32610	5	C
*	003115	16	2	B
*	003116	1	1	A
*	003117	13	2	B
*	003118	1404	3	C
*	003120	12	2	C
*	003121	19	2	B
*	003124	20	2	B
*	003125	20	2	B
*	003126	978	3	C
*	003127	2735	4	C
*	003128	numerose persone	2	B
*	003138	vittime	2	A
*	003141	2	1	B
*	003145	1	1	B
*	003176	4	1	A
*	003180	196	3	B
*	003185	circa 200	3	B
*	003189	oltre 20	2	B
*	003190	vittime	2	B
*	003194	circa 40	2	B
*	003196	4	1	B
*	003199	4	1	B
*	003206	2	1	B
@	003222	6	1	B
*	003230	4	1	B
*	003232	4	1	B
*	003237	1	1	B
*	003240	numerosi	2	B
*	003247	11	2	B
*	003248	4	1	B
*	003248	4	1	B
*	003249	1	1	B
*	003254	1	1	B
*	003255	1	1	B
*	003256	5	1	B
*	003260	3 per infarto	1	B
*	003265	30	2	B
*	003281	48	2	B
*	003282	molti	2	B
*	003290	101	3	B
*	003311	2	1	B
*	003335	alcune decine	2	B
*	003349	1 d'infarto	1	B
*	005014	molte	2	A
*	005055	vittime	2	A
*	005071	morti	2	A
*	005088	48	2	B
*	005091	molte vittime	2	B
*	005098	151	3	B
*	005127	vittime	2	B
*	009006	26	2	B
*	009058	1	1	B
*	009064	alcuni	1	B
*	009731	diverse vittime	1	B
